"Category Id";"Category Name"
"1029464";"Books, Movies and Music / DVDs / Nollywood DVDs"
"1029479";"Books, Movies and Music / DVDs / Performing Arts"
"1029480";"Books, Movies and Music / DVDs / Reality TV"
"1029481";"Books, Movies and Music / DVDs / Romance"
"1029482";"Books, Movies and Music / DVDs / Science Fiction"
"1029483";"Books, Movies and Music / DVDs / Special Interests"
"1029484";"Books, Movies and Music / DVDs / Sports"
"1029485";"Books, Movies and Music / DVDs / TV Game Shows"
"1029486";"Books, Movies and Music / DVDs / TV News Programming"
"1029496";"Books, Movies and Music / Education & Learning / Children's Education"
"1029501";"Books, Movies and Music / Education & Learning / Electronic Exam Study Aids"
"1029498";"Books, Movies and Music / Education & Learning / Professional"
"1029499";"Books, Movies and Music / Education & Learning / Reference"
"1029497";"Books, Movies and Music / Education & Learning / Secondary School"
"1029500";"Books, Movies and Music / Education & Learning / Study Aids"
"1029531";"Books, Movies and Music / Entertainment / Game Books"
"1029532";"Books, Movies and Music / Entertainment / Humor"
"1029533";"Books, Movies and Music / Entertainment / Music"
"1029519";"Books, Movies and Music / Family & Lifestyle / Crafts & Hobbies"
"1029513";"Books, Movies and Music / Family & Lifestyle / Family & Relationships"
"1029516";"Books, Movies and Music / Family & Lifestyle / Food & Drinks"
"1029514";"Books, Movies and Music / Family & Lifestyle / Health & Fitness"
"1029515";"Books, Movies and Music / Family & Lifestyle / House & Home"
"1029520";"Books, Movies and Music / Family & Lifestyle / Parenting"
"1029517";"Books, Movies and Music / Family & Lifestyle / Sports and Recreation"
"1029518";"Books, Movies and Music / Family & Lifestyle / Travel"
"1029488";"Books, Movies and Music / Fiction / Adult Fiction"
"1029490";"Books, Movies and Music / Fiction / Children & Teens"
"1029492";"Books, Movies and Music / Fiction / Comics & Graphic Novels"
"1029489";"Books, Movies and Music / Fiction / Literature"
"1029491";"Books, Movies and Music / Fiction / True Crime"
"1029540";"Books, Movies and Music / Magazines / Automotive"
"1029542";"Books, Movies and Music / Magazines / Business & Investing"
